game_id,game_url,end_time_utc,rated,time_class,time_control,base_secs,inc_secs,kind,rules,your_side,your_rating,your_result_detail,your_result,opponent_username,opponent_rating,eco,opening_name,termination,moves_count,accuracy_white,accuracy_black
d9b17ac3-c9c5-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45200352709,2022-05-02T03:20:00+00:00,True,rapid,600,,,unknown,chess,black,1289,resigned,L,cp4ind67,1335,A00,,cp4ind67 won by resignation,28,,
c0758f3e-c9c6-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45200409789,2022-05-02T03:24:28+00:00,True,rapid,600,,,unknown,chess,white,1281,checkmated,L,tharbo,1304,A40,,tharbo won by checkmate,16,,
62062f81-c9c7-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45200960913,2022-05-02T03:34:21+00:00,True,rapid,600,,,unknown,chess,black,1273,resigned,L,Natedaskate20,1278,C50,,Natedaskate20 won by resignation,30,,
c1b2b823-c9c8-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45201559279,2022-05-02T03:44:40+00:00,True,rapid,600,,,unknown,chess,black,1280,win,W,jhgfdfghjhgfjjj,1218,C21,,Sanjaykshetri123 won by resignation,35,,
351d6bac-c9ca-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45202162441,2022-05-02T03:50:16+00:00,True,rapid,600,,,unknown,chess,white,1272,abandoned,L,etperu,1295,D00,,etperu won - game abandoned,15,,
8a52f59e-cbe3-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45432680219,2022-05-04T20:01:24+00:00,True,rapid,600,,,unknown,chess,white,1288,win,W,celassis,1316,A40,,Sanjaykshetri123 won by resignation,35,,
b1216a2d-cbec-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45436798681,2022-05-04T21:02:44+00:00,True,rapid,600,,,unknown,chess,white,1296,win,W,acelp52,1276,D00,,Sanjaykshetri123 won by resignation,23,,
bb4184e9-cbf2-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45439231009,2022-05-04T21:48:33+00:00,True,rapid,600,,,unknown,chess,white,1304,win,W,vejlebk,1284,D00,,Sanjaykshetri123 won by resignation,25,,
f683b1d0-cbf3-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45439822643,2022-05-04T21:52:59+00:00,True,rapid,600,,,unknown,chess,black,1297,resigned,L,Illustrious-Cake-230,1351,D02,,Illustrious-Cake-230 won by resignation,18,,
9152e392-cbf4-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45440350033,2022-05-04T21:58:33+00:00,True,rapid,600,,,unknown,chess,white,1289,checkmated,L,gisgisgisgis,1303,D00,,gisgisgisgis won by checkmate,15,,
5d18b8e1-cbf5-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45440422725,2022-05-04T22:05:16+00:00,True,rapid,600,,,unknown,chess,black,1282,resigned,L,baboleagabriel,1320,D02,,baboleagabriel won by resignation,28,,
4854e859-cbf6-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45440978399,2022-05-04T22:15:43+00:00,True,rapid,600,,,unknown,chess,black,1275,checkmated,L,KayroValero,1326,C20,,KayroValero won by checkmate,35,,
c009c8a9-cbf7-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45441584119,2022-05-04T22:24:34+00:00,True,rapid,600,,,unknown,chess,black,1268,abandoned,L,captain-kirk,1305,C44,,captain-kirk won - game abandoned,41,,
da3a48c0-cc08-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45448796517,2022-05-05T00:21:25+00:00,True,rapid,600,,,unknown,chess,white,1276,win,W,east-2022,1256,A41,,Sanjaykshetri123 won by resignation,17,,
50e54fed-cc09-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45448827017,2022-05-05T00:25:26+00:00,True,rapid,600,,,unknown,chess,black,1284,win,W,east-2022,1247,C45,,Sanjaykshetri123 won by resignation,15,,
e2204478-cc09-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45449371791,2022-05-05T00:36:27+00:00,True,rapid,600,,,unknown,chess,white,1291,win,W,east-2022,1239,A40,,Sanjaykshetri123 won by checkmate,38,,
7478c0e6-cc0b-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45449982767,2022-05-05T00:44:55+00:00,True,rapid,600,,,unknown,chess,white,1299,win,W,Peloy88,1294,C23,,Sanjaykshetri123 won by resignation,34,,
ba931dcb-cc0c-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45450574849,2022-05-05T00:59:25+00:00,True,rapid,600,,,unknown,chess,black,1292,resigned,L,realbodyg,1329,C20,,realbodyg won by resignation,61,,
9bee0bb9-cc0e-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45451206163,2022-05-05T01:00:27+00:00,True,rapid,600,,,unknown,chess,white,1299,win,W,LienScarlet,1259,D00,,Sanjaykshetri123 won by resignation,7,,
c37b5200-cc0e-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45451216305,2022-05-05T01:05:50+00:00,True,rapid,600,,,unknown,chess,white,1307,win,W,AliYalcin95,1301,D00,,Sanjaykshetri123 won by checkmate,23,,
873f7049-cc0f-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45451775081,2022-05-05T01:09:01+00:00,True,rapid,600,,,unknown,chess,black,1314,win,W,HeinsonBevilaqua,1270,C50,,Sanjaykshetri123 won by resignation,18,,
063014d4-cc10-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45451807273,2022-05-05T01:25:34+00:00,True,rapid,600,,,unknown,chess,black,1321,win,W,JEGAN-369,1280,C44,,Sanjaykshetri123 won on time,45,69.17,79.22
676d810c-cc12-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45452980333,2022-05-05T01:32:21+00:00,True,rapid,600,,,unknown,chess,black,1312,resigned,L,MiciCici12,1297,C20,,MiciCici12 won by resignation,37,,
365bbf82-cc13-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45453542177,2022-05-05T01:38:49+00:00,True,rapid,600,,,unknown,chess,white,1320,win,W,George578645,1284,D00,,Sanjaykshetri123 won by resignation,39,,
